framework              , test                                                         , time     , p95      , p99      , cv       , group          , family                   , metrics                                                                                         
alien-signals          , triangle                                                     , 128.82   , 151.69   , 164.09   , 0.089    , baseline       , glitch-free triangle     ,                                                                                                 
alien-signals          , unstable                                                     , 111.45   , 127.09   , 132.42   , 0.065    , dynamic        , dynamic dependency churn ,                                                                                                 
alien-signals          , manyEffectsFromOneSource                                     , 252.58   , 281.32   , 293.15   , 0.068    , push           , wide fan-out             , checksum=180075672000                                                                           
alien-signals          , manySourcesIntoOneComputedEffectWithDirect                   , 176.15   , 189.03   , 194.38   , 0.034    , pull           , wide fan-in              , checksum=1372929289844                                                                          
alien-signals          , manySourcesIntoOneComputedEffect                             , 169.69   , 184.76   , 191.10   , 0.041    , pull           , wide fan-in              , checksum=1331323690944                                                                          
alien-signals          , manySourcesIntoOneDirectEffect                               , 66.24    , 77.92    , 82.36    , 0.078    , pull           , wide fan-in              , checksum=41605598900                                                                            
alien-signals          , molBench                                                     , 388.37   , 396.13   , 396.14   , 0.013    , dynamic        , mixed app graph          ,                                                                                                 
alien-signals          , createDataSignals                                            , 2.71     , 5.50     , 5.68     , 0.355    , creation       , signal creation          ,                                                                                                 
alien-signals          , createComputations0to1                                       , 0.12     , 2.88     , 3.17     , 1.413    , creation       , computed creation        ,                                                                                                 
alien-signals          , createComputations1to1                                       , 0.43     , 0.60     , 0.63     , 0.180    , creation       , computed creation        ,                                                                                                 
alien-signals          , createComputations2to1                                       , 0.35     , 1.57     , 1.96     , 1.009    , creation       , computed creation        ,                                                                                                 
alien-signals          , createComputations4to1                                       , 0.28     , 2.04     , 2.62     , 1.370    , creation       , computed creation        ,                                                                                                 
alien-signals          , createComputations1000to1                                    , 0.04     , 0.09     , 0.09     , 0.601    , creation       , computed creation        ,                                                                                                 
alien-signals          , createComputations1to2                                       , 1.65     , 2.45     , 2.72     , 0.222    , creation       , computed creation        ,                                                                                                 
alien-signals          , createComputations1to4                                       , 1.93     , 3.96     , 4.28     , 0.346    , creation       , computed creation        ,                                                                                                 
alien-signals          , createComputations1to8                                       , 2.92     , 3.10     , 3.16     , 0.180    , creation       , computed creation        ,                                                                                                 
alien-signals          , createComputations1to1000                                    , 0.05     , 3.35     , 3.36     , 1.504    , creation       , computed creation        ,                                                                                                 
alien-signals          , updateComputations1to1                                       , 5.06     , 5.09     , 5.10     , 0.054    , update         , stable update            ,                                                                                                 
alien-signals          , updateComputations2to1                                       , 3.13     , 3.31     , 3.37     , 0.153    , update         , stable update            ,                                                                                                 
alien-signals          , updateComputations4to1                                       , 1.66     , 2.36     , 2.49     , 0.304    , update         , stable update            ,                                                                                                 
alien-signals          , updateComputations1000to1                                    , 0.06     , 0.09     , 0.10     , 0.500    , update         , stable update            ,                                                                                                 
alien-signals          , updateComputations1to2                                       , 3.10     , 3.21     , 3.24     , 0.123    , update         , stable update            ,                                                                                                 
alien-signals          , updateComputations1to4                                       , 1.65     , 3.34     , 3.76     , 0.369    , update         , stable update            ,                                                                                                 
