framework              , test                                                         , time    
$mol_wire              , createComputations4to1                                       , 49.47   
$mol_wire              , createComputations1000to1                                    , 51.34   
$mol_wire              , createComputations1to2                                       , 69.51   
$mol_wire              , createComputations1to4                                       , 55.43   
$mol_wire              , createComputations1to8                                       , 49.77   
$mol_wire              , createComputations1to1000                                    , 48.37   
$mol_wire              , updateComputations1to1                                       , 50.71   
$mol_wire              , updateComputations2to1                                       , 52.50   
$mol_wire              , updateComputations4to1                                       , 51.93   
$mol_wire              , updateComputations1000to1                                    , 42.30   
$mol_wire              , updateComputations1to2                                       , 47.50   
$mol_wire              , updateComputations1to4                                       , 45.84   
$mol_wire              , updateComputations1to1000                                    , 41.84   
$mol_wire              , 10x5 - 2 sources - read 20% (simple component)               , 405.79  
$mol_wire              , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 377.80  
$mol_wire              , 1000x12 - 4 sources - dynamic (large web app)                , 593.27  
$mol_wire              , 1000x5 - 25 sources (wide dense)                             , 852.14  
$mol_wire              , 5x500 - 3 sources (deep)                                     , 365.17  
Oby                    , avoidablePropagation                                         , 533.22  
Oby                    , broadPropagation                                             , 729.62  
Oby                    , deepPropagation                                              , 299.60  
Oby                    , diamond                                                      , 535.51  
Oby                    , mux                                                          , 473.43  
Oby                    , repeatedObservers                                            , 119.25  
Oby                    , triangle                                                     , 165.45  
Oby                    , unstable                                                     , 143.65  
Oby                    , molBench                                                     , 783.43  
Oby                    , createDataSignals                                            , 54.23   
Oby                    , createComputations0to1                                       , 134.65  
Oby                    , createComputations1to1                                       , 122.18  
Oby                    , createComputations2to1                                       , 132.26  
Oby                    , createComputations4to1                                       , 131.00  
Oby                    , createComputations1000to1                                    , 145.27  
Oby                    , createComputations1to2                                       , 143.12  
Oby                    , createComputations1to4                                       , 135.45  
Oby                    , createComputations1to8                                       , 130.55  
Oby                    , createComputations1to1000                                    , 120.76  
Oby                    , updateComputations1to1                                       , 54.40   
Oby                    , updateComputations2to1                                       , 54.43   
Oby                    , updateComputations4to1                                       , 42.61   
Oby                    , updateComputations1000to1                                    , 42.56   
Oby                    , updateComputations1to2                                       , 45.34   
Oby                    , updateComputations1to4                                       , 48.85   
Oby                    , updateComputations1to1000                                    , 49.89   
Oby                    , 10x5 - 2 sources - read 20% (simple component)               , 418.39  
Oby                    , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 376.13  
Oby                    , 1000x12 - 4 sources - dynamic (large web app)                , 616.45  
Oby                    , 1000x5 - 25 sources (wide dense)                             , 905.99  
Oby                    , 5x500 - 3 sources (deep)                                     , 346.59  
Signia                 , avoidablePropagation                                         , 622.61  
Signia                 , broadPropagation                                             , 646.84  
Signia                 , deepPropagation                                              , 250.07  
Signia                 , diamond                                                      , 554.45  
Signia                 , mux                                                          , 564.84  
Signia                 , repeatedObservers                                            , 110.50  
Signia                 , triangle                                                     , 177.02  
Signia                 , unstable                                                     , 132.38  
Signia                 , molBench                                                     , 660.18  
Signia                 , createDataSignals                                            , 51.49   
Signia                 , createComputations0to1                                       , 55.01   
Signia                 , createComputations1to1                                       , 57.98   
Signia                 , createComputations2to1                                       , 52.96   
Signia                 , createComputations4to1                                       , 49.27   
Signia                 , createComputations1000to1                                    , 52.67   
Signia                 , createComputations1to2                                       , 52.79   
Signia                 , createComputations1to4                                       , 53.61   
Signia                 , createComputations1to8                                       , 59.92   
Signia                 , createComputations1to1000                                    , 51.04   
Signia                 , updateComputations1to1                                       , 71.68   
Signia                 , updateComputations2to1                                       , 59.61   
Signia                 , updateComputations4to1                                       , 53.39   
Signia                 , updateComputations1000to1                                    , 43.24   
Signia                 , updateComputations1to2                                       , 59.69   
Signia                 , updateComputations1to4                                       , 53.92   
Signia                 , updateComputations1to1000                                    , 42.62   
Signia                 , 10x5 - 2 sources - read 20% (simple component)               , 407.01  
Signia                 , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 313.67  
Signia                 , 1000x12 - 4 sources - dynamic (large web app)                , 4452.60 
Signia                 , 1000x5 - 25 sources (wide dense)                             , 2647.12 
Signia                 , 5x500 - 3 sources (deep)                                     , 267.47  
@solidjs/signals       , avoidablePropagation                                         , 837.76  
@solidjs/signals       , broadPropagation                                             , 1641.72 
@solidjs/signals       , deepPropagation                                              , 519.35  
@solidjs/signals       , diamond                                                      , 1301.03 
@solidjs/signals       , mux                                                          , 583.36  
@solidjs/signals       , repeatedObservers                                            , 244.91  
@solidjs/signals       , triangle                                                     , 382.21  
@solidjs/signals       , unstable                                                     , 331.60  
@solidjs/signals       , molBench                                                     , 820.25  
@solidjs/signals       , createDataSignals                                            , 48.11   
@solidjs/signals       , createComputations0to1                                       , 104.75  
@solidjs/signals       , createComputations1to1                                       , 162.27  
@solidjs/signals       , createComputations2to1                                       , 139.40  
@solidjs/signals       , createComputations4to1                                       , 128.61  
@solidjs/signals       , createComputations1000to1                                    , 164.40  
@solidjs/signals       , createComputations1to2                                       , 134.58  
@solidjs/signals       , createComputations1to4                                       , 134.21  
@solidjs/signals       , createComputations1to8                                       , 129.74  
@solidjs/signals       , createComputations1to1000                                    , 127.63  
@solidjs/signals       , updateComputations1to1                                       , 51.32   
@solidjs/signals       , updateComputations2to1                                       , 46.11   
@solidjs/signals       , updateComputations4to1                                       , 44.39   
@solidjs/signals       , updateComputations1000to1                                    , 44.36   
@solidjs/signals       , updateComputations1to2                                       , 45.91   
@solidjs/signals       , updateComputations1to4                                       , 43.59   
@solidjs/signals       , updateComputations1to1000                                    , 50.80   
@solidjs/signals       , 10x5 - 2 sources - read 20% (simple component)               , 2444.95 
@solidjs/signals       , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 663.53  
@solidjs/signals       , 1000x12 - 4 sources - dynamic (large web app)                , 884.31  
@solidjs/signals       , 1000x5 - 25 sources (wide dense)                             , 1266.97 
@solidjs/signals       , 5x500 - 3 sources (deep)                                     , 482.35  
SolidJS                , avoidablePropagation                                         , 648.78  
SolidJS                , broadPropagation                                             , 912.61  
SolidJS                , deepPropagation                                              , 342.37  
SolidJS                , diamond                                                      , 705.32  
SolidJS                , mux                                                          , 560.34  
SolidJS                , repeatedObservers                                            , 198.11  
SolidJS                , triangle                                                     , 249.10  
SolidJS                , unstable                                                     , 249.12  
SolidJS                , molBench                                                     , 783.73  
SolidJS                , createDataSignals                                            , 49.85   
SolidJS                , createComputations0to1                                       , 62.19   
SolidJS                , createComputations1to1                                       , 64.58   
SolidJS                , createComputations2to1                                       , 69.62   
SolidJS                , createComputations4to1                                       , 149.42  
SolidJS                , createComputations1000to1                                    , 52.25   
SolidJS                , createComputations1to2                                       , 75.99   
SolidJS                , createComputations1to4                                       , 63.10   
SolidJS                , createComputations1to8                                       , 66.38   
SolidJS                , createComputations1to1000                                    , 60.24   
SolidJS                , updateComputations1to1                                       , 107.23  
SolidJS                , updateComputations2to1                                       , 80.78   
SolidJS                , updateComputations4to1                                       , 69.16   
SolidJS                , updateComputations1000to1                                    , 83.88   
