framework              , test                                                         , time    
Signia                 , diamond                                                      , 578.52  
Signia                 , mux                                                          , 548.14  
Signia                 , repeatedObservers                                            , 118.61  
Signia                 , triangle                                                     , 176.58  
Signia                 , unstable                                                     , 134.84  
Signia                 , molBench                                                     , 596.43  
Signia                 , createDataSignals                                            , 47.19   
Signia                 , createComputations0to1                                       , 55.73   
Signia                 , createComputations1to1                                       , 53.11   
Signia                 , createComputations2to1                                       , 52.06   
Signia                 , createComputations4to1                                       , 49.20   
Signia                 , createComputations1000to1                                    , 49.21   
Signia                 , createComputations1to2                                       , 53.14   
Signia                 , createComputations1to4                                       , 52.29   
Signia                 , createComputations1to8                                       , 56.48   
Signia                 , createComputations1to1000                                    , 54.77   
Signia                 , updateComputations1to1                                       , 71.70   
Signia                 , updateComputations2to1                                       , 60.77   
Signia                 , updateComputations4to1                                       , 53.51   
Signia                 , updateComputations1000to1                                    , 43.38   
Signia                 , updateComputations1to2                                       , 59.23   
Signia                 , updateComputations1to4                                       , 57.29   
Signia                 , updateComputations1to1000                                    , 51.55   
Signia                 , 10x5 - 2 sources - read 20% (simple component)               , 413.05  
Signia                 , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 306.59  
Signia                 , 1000x12 - 4 sources - dynamic (large web app)                , 4077.42 
Signia                 , 1000x5 - 25 sources (wide dense)                             , 2578.76 
Signia                 , 5x500 - 3 sources (deep)                                     , 256.06  
@solidjs/signals       , avoidablePropagation                                         , 882.70  
@solidjs/signals       , broadPropagation                                             , 1903.48 
@solidjs/signals       , deepPropagation                                              , 617.55  
@solidjs/signals       , diamond                                                      , 1335.54 
@solidjs/signals       , mux                                                          , 592.09  
@solidjs/signals       , repeatedObservers                                            , 244.88  
@solidjs/signals       , triangle                                                     , 410.85  
@solidjs/signals       , unstable                                                     , 342.32  
@solidjs/signals       , molBench                                                     , 741.43  
@solidjs/signals       , createDataSignals                                            , 48.41   
@solidjs/signals       , createComputations0to1                                       , 99.66   
@solidjs/signals       , createComputations1to1                                       , 160.01  
@solidjs/signals       , createComputations2to1                                       , 137.36  
@solidjs/signals       , createComputations4to1                                       , 122.92  
@solidjs/signals       , createComputations1000to1                                    , 164.69  
@solidjs/signals       , createComputations1to2                                       , 135.60  
@solidjs/signals       , createComputations1to4                                       , 132.02  
@solidjs/signals       , createComputations1to8                                       , 135.61  
@solidjs/signals       , createComputations1to1000                                    , 126.65  
@solidjs/signals       , updateComputations1to1                                       , 51.37   
@solidjs/signals       , updateComputations2to1                                       , 45.51   
@solidjs/signals       , updateComputations4to1                                       , 43.16   
@solidjs/signals       , updateComputations1000to1                                    , 43.15   
@solidjs/signals       , updateComputations1to2                                       , 45.30   
@solidjs/signals       , updateComputations1to4                                       , 44.66   
@solidjs/signals       , updateComputations1to1000                                    , 44.68   
@solidjs/signals       , 10x5 - 2 sources - read 20% (simple component)               , 2767.07 
@solidjs/signals       , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 714.62  
@solidjs/signals       , 1000x12 - 4 sources - dynamic (large web app)                , 912.80  
@solidjs/signals       , 1000x5 - 25 sources (wide dense)                             , 1194.82 
@solidjs/signals       , 5x500 - 3 sources (deep)                                     , 517.73  
SolidJS                , avoidablePropagation                                         , 741.36  
SolidJS                , broadPropagation                                             , 913.98  
SolidJS                , deepPropagation                                              , 350.64  
SolidJS                , diamond                                                      , 786.62  
SolidJS                , mux                                                          , 549.17  
SolidJS                , repeatedObservers                                            , 202.67  
SolidJS                , triangle                                                     , 262.77  
