framework              , test                                                         , time    
@vue/reactivity        , 1000x12 - 4 sources - dynamic (large web app)                , 3896.07 
@vue/reactivity        , 1000x5 - 25 sources (wide dense)                             , 7164.08 
@vue/reactivity        , 5x500 - 3 sources (deep)                                     , 307.23  
MobX                   , avoidablePropagation                                         , 1273.42 
MobX                   , broadPropagation                                             , 2504.99 
MobX                   , deepPropagation                                              , 824.70  
MobX                   , diamond                                                      , 1449.65 
MobX                   , mux                                                          , 984.54  
MobX                   , repeatedObservers                                            , 153.51  
MobX                   , triangle                                                     , 470.79  
MobX                   , unstable                                                     , 288.70  
MobX                   , molBench                                                     , 637.65  
MobX                   , createDataSignals                                            , 51.71   
MobX                   , createComputations0to1                                       , 62.02   
MobX                   , createComputations1to1                                       , 72.45   
MobX                   , createComputations2to1                                       , 60.32   
MobX                   , createComputations4to1                                       , 53.79   
MobX                   , createComputations1000to1                                    , 49.67   
MobX                   , createComputations1to2                                       , 64.05   
MobX                   , createComputations1to4                                       , 67.95   
MobX                   , createComputations1to8                                       , 61.26   
MobX                   , createComputations1to1000                                    , 64.78   
MobX                   , updateComputations1to1                                       , 57.12   
MobX                   , updateComputations2to1                                       , 57.14   
MobX                   , updateComputations4to1                                       , 49.52   
MobX                   , updateComputations1000to1                                    , 44.38   
MobX                   , updateComputations1to2                                       , 51.70   
MobX                   , updateComputations1to4                                       , 49.06   
MobX                   , updateComputations1to1000                                    , 55.84   
MobX                   , 10x5 - 2 sources - read 20% (simple component)               , 1082.53 
MobX                   , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 905.96  
MobX                   , 1000x12 - 4 sources - dynamic (large web app)                , 1361.26 
MobX                   , 1000x5 - 25 sources (wide dense)                             , 2072.73 
MobX                   , 5x500 - 3 sources (deep)                                     , 740.15  
