framework              , test                                                         , time    
Oby                    , createDataSignals                                            , 55.47   
Oby                    , createComputations0to1                                       , 129.19  
Oby                    , createComputations1to1                                       , 156.38  
Oby                    , createComputations2to1                                       , 128.43  
Oby                    , createComputations4to1                                       , 114.74  
Oby                    , createComputations1000to1                                    , 144.59  
Oby                    , createComputations1to2                                       , 138.04  
Oby                    , createComputations1to4                                       , 142.95  
Oby                    , createComputations1to8                                       , 124.29  
Oby                    , createComputations1to1000                                    , 132.20  
Oby                    , updateComputations1to1                                       , 56.86   
Oby                    , updateComputations2to1                                       , 51.03   
Oby                    , updateComputations4to1                                       , 57.33   
Oby                    , updateComputations1000to1                                    , 46.79   
Oby                    , updateComputations1to2                                       , 59.48   
Oby                    , updateComputations1to4                                       , 51.64   
Oby                    , updateComputations1to1000                                    , 46.92   
Oby                    , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 634.69  
Oby                    , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 947.95  
Oby                    , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 530.46  
Oby                    , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 916.70  
Oby                    , 10x5 - 2 sources - read 20% (simple component)               , 511.50  
Oby                    , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 392.27  
Oby                    , 1000x12 - 4 sources - dynamic (large web app)                , 613.49  
Oby                    , 1000x5 - 25 sources (wide dense)                             , 812.98  
Oby                    , 5x500 - 3 sources (deep)                                     , 341.23  
Signia                 , avoidablePropagation                                         , 625.60  
Signia                 , broadPropagation                                             , 603.02  
Signia                 , deepPropagation                                              , 232.56  
Signia                 , diamond                                                      , 557.81  
Signia                 , mux                                                          , 532.57  
Signia                 , repeatedObservers                                            , 99.74   
Signia                 , triangle                                                     , 177.93  
Signia                 , unstable                                                     , 124.36  
Signia                 , molBench                                                     , 590.39  
Signia                 , createDataSignals                                            , 56.79   
Signia                 , createComputations0to1                                       , 66.05   
Signia                 , createComputations1to1                                       , 57.23   
Signia                 , createComputations2to1                                       , 54.70   
Signia                 , createComputations4to1                                       , 63.04   
Signia                 , createComputations1000to1                                    , 59.79   
Signia                 , createComputations1to2                                       , 56.98   
Signia                 , createComputations1to4                                       , 74.10   
Signia                 , createComputations1to8                                       , 70.08   
Signia                 , createComputations1to1000                                    , 72.48   
Signia                 , updateComputations1to1                                       , 85.82   
Signia                 , updateComputations2to1                                       , 72.64   
Signia                 , updateComputations4to1                                       , 57.79   
Signia                 , updateComputations1000to1                                    , 51.22   
Signia                 , updateComputations1to2                                       , 63.15   
Signia                 , updateComputations1to4                                       , 77.46   
Signia                 , updateComputations1to1000                                    , 61.64   
Signia                 , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 1125.73 
Signia                 , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 1055.49 
Signia                 , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 1051.22 
Signia                 , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 1091.45 
Signia                 , 10x5 - 2 sources - read 20% (simple component)               , 493.38  
Signia                 , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 319.02  
Signia                 , 1000x12 - 4 sources - dynamic (large web app)                , 4357.78 
Signia                 , 1000x5 - 25 sources (wide dense)                             , 2605.83 
Signia                 , 5x500 - 3 sources (deep)                                     , 260.42  
@solidjs/signals       , avoidablePropagation                                         , 841.11  
@solidjs/signals       , broadPropagation                                             , 1816.22 
@solidjs/signals       , deepPropagation                                              , 592.70  
@solidjs/signals       , diamond                                                      , 1294.90 
@solidjs/signals       , mux                                                          , 589.19  
@solidjs/signals       , repeatedObservers                                            , 214.97  
@solidjs/signals       , triangle                                                     , 404.96  
@solidjs/signals       , unstable                                                     , 298.85  
@solidjs/signals       , molBench                                                     , 736.67  
@solidjs/signals       , createDataSignals                                            , 55.66   
@solidjs/signals       , createComputations0to1                                       , 101.70  
@solidjs/signals       , createComputations1to1                                       , 171.38  
@solidjs/signals       , createComputations2to1                                       , 143.30  
@solidjs/signals       , createComputations4to1                                       , 122.87  
@solidjs/signals       , createComputations1000to1                                    , 167.59  
@solidjs/signals       , createComputations1to2                                       , 133.29  
@solidjs/signals       , createComputations1to4                                       , 126.18  
@solidjs/signals       , createComputations1to8                                       , 138.41  
@solidjs/signals       , createComputations1to1000                                    , 123.01  
@solidjs/signals       , updateComputations1to1                                       , 63.40   
@solidjs/signals       , updateComputations2to1                                       , 58.07   
@solidjs/signals       , updateComputations4to1                                       , 47.62   
@solidjs/signals       , updateComputations1000to1                                    , 56.19   
@solidjs/signals       , updateComputations1to2                                       , 54.70   
@solidjs/signals       , updateComputations1to4                                       , 53.14   
@solidjs/signals       , updateComputations1to1000                                    , 49.81   
@solidjs/signals       , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 2397.85 
@solidjs/signals       , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 2045.37 
@solidjs/signals       , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 1236.66 
