framework              , test                                                         , time    
@amadeus-it-group/tans , 32x8 - 4 sources - pull (pure pull)                          , 48.50   
@amadeus-it-group/tans , 32x8 - 4 sources - push (pure push)                          , 291.57  
@amadeus-it-group/tans , 10x5 - 2 sources - read 20% (simple component)               , 582.14  
@amadeus-it-group/tans , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 389.41  
@amadeus-it-group/tans , 1000x12 - 4 sources - dynamic (large web app)                , 658.28  
@amadeus-it-group/tans , 1000x5 - 25 sources (wide dense)                             , 943.81  
@amadeus-it-group/tans , 5x500 - 3 sources (deep)                                     , 483.93  
$mol_wire              , avoidablePropagation                                         , 604.09  
$mol_wire              , broadPropagation                                             , 1358.27 
$mol_wire              , deepPropagation                                              , 396.41  
$mol_wire              , diamond                                                      , 720.74  
$mol_wire              , mux                                                          , 761.68  
$mol_wire              , repeatedObservers                                            , 149.40  
$mol_wire              , triangle                                                     , 239.08  
$mol_wire              , unstable                                                     , 340.24  
$mol_wire              , molBench                                                     , 336.39  
$mol_wire              , createDataSignals                                            , 65.55   
$mol_wire              , createComputations0to1                                       , 79.44   
$mol_wire              , createComputations1to1                                       , 155.92  
$mol_wire              , createComputations2to1                                       , 151.16  
$mol_wire              , createComputations4to1                                       , 63.41   
$mol_wire              , createComputations1000to1                                    , 57.57   
$mol_wire              , createComputations1to2                                       , 78.30   
$mol_wire              , createComputations1to4                                       , 77.88   
$mol_wire              , createComputations1to8                                       , 67.74   
$mol_wire              , createComputations1to1000                                    , 150.79  
$mol_wire              , updateComputations1to1                                       , 56.03   
$mol_wire              , updateComputations2to1                                       , 68.84   
$mol_wire              , updateComputations4to1                                       , 53.70   
$mol_wire              , updateComputations1000to1                                    , 55.67   
$mol_wire              , updateComputations1to2                                       , 58.54   
$mol_wire              , updateComputations1to4                                       , 50.46   
$mol_wire              , updateComputations1to1000                                    , 61.48   
$mol_wire              , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 847.98  
