framework              , test                                                         , time    
@reactively            , createComputations0to1                                       , 83.07   
@reactively            , createComputations1to1                                       , 112.39  
@reactively            , createComputations2to1                                       , 81.10   
@reactively            , createComputations4to1                                       , 79.32   
@reactively            , createComputations1000to1                                    , 80.96   
@reactively            , createComputations1to2                                       , 78.94   
@reactively            , createComputations1to4                                       , 82.31   
@reactively            , createComputations1to8                                       , 89.64   
@reactively            , createComputations1to1000                                    , 81.25   
@reactively            , updateComputations1to1                                       , 81.70   
@reactively            , updateComputations2to1                                       , 77.19   
@reactively            , updateComputations4to1                                       , 78.63   
@reactively            , updateComputations1000to1                                    , 73.07   
@reactively            , updateComputations1to2                                       , 78.94   
@reactively            , updateComputations1to4                                       , 76.84   
@reactively            , updateComputations1to1000                                    , 74.43   
@reactively            , 200x6 - 2 sources (diamond shared deps)                      , 125.51  
@reactively            , 5000x2 - 1 sources (broad fan-out)                           , 457.16  
@reactively            , 1x2 - 5000 sources (many sources one sink)                   , 314.47  
@reactively            , 200x20 - 8 sources - dynamic - read 50% (conditional churn)  , 4136.85 
@reactively            , 300x10 - 4 sources (stable after recompute)                  , 561.56  
@reactively            , 500x8 - 4 sources (hot reads stable graph)                   , 3855.94 
@reactively            , 3000x6 - 2 sources - read 2% (broad invalidation sparse read , 105.29  
@reactively            , 1x3 - 2 sources (many observers)                             , 76.19   
@reactively            , 5x300 - 3 sources - dynamic (deep dynamic)                   , 366.80  
@reactively            , 10000x2 - 2 sources (ultra wide shallow)                     , 378.98  
@reactively            , 10x5 - 2 sources - read 20% (simple component)               , 298.78  
@reactively            , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 292.63  
@reactively            , 1000x12 - 4 sources - dynamic (large web app)                , 492.69  
@reactively            , 1000x5 - 25 sources (wide dense)                             , 608.78  
@reactively            , 5x500 - 3 sources (deep)                                     , 283.01  
s-js                   , avoidablePropagation                                         , 535.30  
s-js                   , broadPropagation                                             , 300.56  
s-js                   , deepPropagation                                              , 99.03   
s-js                   , diamond                                                      , 370.63  
s-js                   , mux                                                          , 389.39  
s-js                   , repeatedObservers                                            , 133.24  
s-js                   , triangle                                                     , 114.87  
s-js                   , unstable                                                     , 147.73  
s-js                   , molBench                                                     , 906.13  
s-js                   , createDataSignals                                            , 83.27   
s-js                   , createComputations0to1                                       , 81.84   
s-js                   , createComputations1to1                                       , 94.46   
s-js                   , createComputations2to1                                       , 94.53   
s-js                   , createComputations4to1                                       , 96.15   
s-js                   , createComputations1000to1                                    , 88.67   
s-js                   , createComputations1to2                                       , 89.03   
s-js                   , createComputations1to4                                       , 86.85   
s-js                   , createComputations1to8                                       , 85.70   
s-js                   , createComputations1to1000                                    , 90.27   
s-js                   , updateComputations1to1                                       , 112.73  
s-js                   , updateComputations2to1                                       , 99.62   
s-js                   , updateComputations4to1                                       , 99.70   
s-js                   , updateComputations1000to1                                    , 99.11   
s-js                   , updateComputations1to2                                       , 108.41  
s-js                   , updateComputations1to4                                       , 111.26  
s-js                   , updateComputations1to1000                                    , 103.61  
s-js                   , 200x6 - 2 sources (diamond shared deps)                      , 112.81  
s-js                   , 5000x2 - 1 sources (broad fan-out)                           , 291.50  
s-js                   , 1x2 - 5000 sources (many sources one sink)                   , 521.06  
s-js                   , 200x20 - 8 sources - dynamic - read 50% (conditional churn)  , 6063.14 
s-js                   , 300x10 - 4 sources (stable after recompute)                  , 715.06  
s-js                   , 500x8 - 4 sources (hot reads stable graph)                   , 4204.94 
s-js                   , 3000x6 - 2 sources - read 2% (broad invalidation sparse read , 139.05  
s-js                   , 1x3 - 2 sources (many observers)                             , 81.34   
s-js                   , 5x300 - 3 sources - dynamic (deep dynamic)                   , 399.36  
s-js                   , 10000x2 - 2 sources (ultra wide shallow)                     , 419.77  
s-js                   , 10x5 - 2 sources - read 20% (simple component)               , 850.89  
s-js                   , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 431.08  
s-js                   , 1000x12 - 4 sources - dynamic (large web app)                , 504.03  
s-js                   , 1000x5 - 25 sources (wide dense)                             , 939.73  
s-js                   , 5x500 - 3 sources (deep)                                     , 322.62  
@amadeus-it-group/tans , avoidablePropagation                                         , 664.47  
@amadeus-it-group/tans , broadPropagation                                             , 744.04  
@amadeus-it-group/tans , deepPropagation                                              , 241.30  
@amadeus-it-group/tans , diamond                                                      , 502.16  
@amadeus-it-group/tans , mux                                                          , 582.18  
@amadeus-it-group/tans , repeatedObservers                                            , 119.53  
@amadeus-it-group/tans , triangle                                                     , 157.24  
@amadeus-it-group/tans , unstable                                                     , 208.65  
@amadeus-it-group/tans , molBench                                                     , 603.51  
@amadeus-it-group/tans , createDataSignals                                            , 102.56  
@amadeus-it-group/tans , createComputations0to1                                       , 94.05   
@amadeus-it-group/tans , createComputations1to1                                       , 108.71  
@amadeus-it-group/tans , createComputations2to1                                       , 104.61  
@amadeus-it-group/tans , createComputations4to1                                       , 85.17   
@amadeus-it-group/tans , createComputations1000to1                                    , 84.34   
@amadeus-it-group/tans , createComputations1to2                                       , 90.77   
@amadeus-it-group/tans , createComputations1to4                                       , 85.10   
@amadeus-it-group/tans , createComputations1to8                                       , 88.12   
@amadeus-it-group/tans , createComputations1to1000                                    , 85.22   
@amadeus-it-group/tans , updateComputations1to1                                       , 85.01   
@amadeus-it-group/tans , updateComputations2to1                                       , 80.06   
@amadeus-it-group/tans , updateComputations4to1                                       , 76.40   
@amadeus-it-group/tans , updateComputations1000to1                                    , 73.27   
@amadeus-it-group/tans , updateComputations1to2                                       , 82.74   
@amadeus-it-group/tans , updateComputations1to4                                       , 77.00   
@amadeus-it-group/tans , updateComputations1to1000                                    , 72.69   
@amadeus-it-group/tans , 200x6 - 2 sources (diamond shared deps)                      , 168.14  
@amadeus-it-group/tans , 5000x2 - 1 sources (broad fan-out)                           , 794.57  
@amadeus-it-group/tans , 1x2 - 5000 sources (many sources one sink)                   , 567.99  
@amadeus-it-group/tans , 200x20 - 8 sources - dynamic - read 50% (conditional churn)  , 6496.21 
@amadeus-it-group/tans , 300x10 - 4 sources (stable after recompute)                  , 999.50  
@amadeus-it-group/tans , 500x8 - 4 sources (hot reads stable graph)                   , 8467.64 
@amadeus-it-group/tans , 3000x6 - 2 sources - read 2% (broad invalidation sparse read , 115.89  
@amadeus-it-group/tans , 1x3 - 2 sources (many observers)                             , 73.22   
@amadeus-it-group/tans , 5x300 - 3 sources - dynamic (deep dynamic)                   , 530.78  
@amadeus-it-group/tans , 10000x2 - 2 sources (ultra wide shallow)                     , 663.86  
@amadeus-it-group/tans , 10x5 - 2 sources - read 20% (simple component)               , 448.71  
